TotalTime,ReviewCount,Calories,SugarContent,ProteinContent,RecipeServings,Rating,predictionBasedOnText,predictionBasedOnImage,IngredientCount,InstructionCount
95,9,264.6,17.8,5.0,12.0,4,5,4,9,14
95,9,264.6,17.8,5.0,12.0,5,5,5,9,14
95,9,264.6,17.8,5.0,12.0,5,5,5,9,14
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,4,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,1,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,5,5,5,7,7
22,12,298.7,32.6,4.1,16.0,4,4,2,7,7
60,7,158.4,3.6,5.7,16.0,4,5,4,6,8
60,7,158.4,3.6,5.7,16.0,5,5,3,6,8
60,7,158.4,3.6,5.7,16.0,5,5,5,6,8
60,7,158.4,3.6,5.7,16.0,5,5,5,6,8
60,7,158.4,3.6,5.7,16.0,0,5,0,6,8
60,7,158.4,3.6,5.7,16.0,0,5,0,6,8
60,7,158.4,3.6,5.7,16.0,5,5,5,6,8
45,5,311.1,1.3,6.8,6.0,4,4,4,10,10
45,5,311.1,1.3,6.8,6.0,3,3,3,10,10
45,5,311.1,1.3,6.8,6.0,5,5,5,10,10
45,5,311.1,1.3,6.8,6.0,4,4,4,10,10
45,5,311.1,1.3,6.8,6.0,5,5,5,10,10
50,2,32.8,7.0,0.3,6.0,3,5,3,5,5
50,2,32.8,7.0,0.3,6.0,3,3,3,5,5
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,2,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,1,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,1,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,4,5,0,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,3,4,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
